segment_id,case_id,document_id,locator,neutral_paraphrase,primary_codes,evidence_class,claim_status,analytic_use,limitation,verified_on
MON-009,MONETA,MONETA-SR-2024,"p. 21–24, Carbon Footprint Journey","The time series notes recalculations and the gradual addition of financed portfolio categories, making clear that apparent Scope 3 changes partly reflect boundary development.","MET-TS;MET-BND;NEG-CHG;E2",E2,metric,"Demonstrates transparent treatment of comparability limits.","Values across years cannot be interpreted as a pure performance trend without accounting for coverage changes.",2026-09-01
MON-010,MONETA,MONETA-SR-2024,"p. 52–55, ESG Governance","A Sustainability Committee chaired by the CEO and including five Board members meets quarterly, monitors targets and may initiate corrective actions; risk and compliance functions form additional lines of defence.","GOV-COM;GOV-CAD;GOV-CTL;GOV-BOARD;E2",E2,corporate_claim,"Formal governance with cadence, authority and corrective mechanism.","The report does not provide minutes or examples sufficient to test committee effectiveness.",2026-09-01
MON-011,MONETA,MONETA-SR-2024,"p. 34, Gender Pay Gap","The adjusted gender pay gap rose from 0.88 percent in 2023 to 1.44 percent in 2024 against a goal below one percent.","NEG-WOR;MET-BAS;MET-TS;E2",E2,metric,"Balanced disclosure of a worsening metric and missed threshold.","The adjusted methodology and population boundaries require the full methodological note for external comparison.",2026-09-01
MON-012,MONETA,MONETA-SR-2024,"p. 60, KPI appendix","A volunteering participation target was cancelled by the Sustainability Committee in 2024 and therefore not evaluated.","NEG-CHG;GOV-COM;E2",E2,limitation,"Shows that the target system is revised rather than presented as fixed and uniformly successful.","The short note does not explain the substantive reason for cancellation.",2026-09-01
O2-001,O2,O2-ESG-2024,"p. 14–15, ESG Strategy","O2 states that strategic objectives were translated into KPIs monitored and evaluated quarterly under a four-pillar ESG strategy.","GOV-CAD;MET-BAS;MAT-BM;E2",E2,corporate_claim,"Formal strategy-to-KPI and review cadence.","The report later notes that detailed governance and ESG KPIs at the highest body remain incomplete.",2026-09-01
O2-002,O2,O2-ESG-2024,"p. 14, ESG Strategy","Following restructuring in 2024, O2 no longer assumed previous PPF Telecom Group commitments and was resetting goals for the stand-alone entity.","MOT-GRP;NEG-CHG;NEG-GAP;E2",E2,limitation,"Critical case showing how organisational boundary changes disrupt target continuity.","New targets were not yet available in the report.",2026-09-01
O2-003,O2,O2-ESG-2024,"p. 17–19, Double Materiality Analysis","O2 completed a double materiality analysis organised by ESRS topics while continuing to report primarily against GRI during its transition toward CSRD readiness.","MAT-DMA;MOT-REG;NEG-CHG;E1",E1,corporate_claim,"Evidence of reporting transition and an emerging materiality architecture.","The public description provides less process detail than the MONETA and CEZ cases.",2026-09-01
O2-004,O2,O2-ESG-2024,"p. 3 and p. 5, Executive Summary","The company reports that all employees received ESG training and that its top 200 suppliers were engaged in a sustainable procurement programme.","DEC-SUP;GOV-SKL;MET-OUT;E1",E1,activity_metric,"Concrete reach of internal and supplier engagement.","Participation does not demonstrate changed supplier performance or employee behaviour.",2026-09-01
O2-005,O2,O2-ESG-2024,"p. 3 and p. 5, Executive Summary","O2 reports blocking more than four billion cyberattacks and training 86,703 people through digital-literacy activities.","DEC-PROD;MET-OUT;MAT-BM;E1",E1,activity_metric,"Shows sector-specific social and customer priorities tied to digital services.","Counts are outputs; the report does not establish the avoided harm or learning outcome attributable to the programmes.",2026-09-01
O2-006,O2,O2-ESG-2024,"p. 23–25, Carbon Footprint and Energy","Purchased electricity rose to 31,624,245 kWh in 2024 and the report attributes part of the increase in energy use to expanded organisational scope and acquisition.","NEG-WOR;MET-BND;MOT-OPS;E2",E2,metric,"Balanced disclosure of an adverse trend with boundary explanation.","The disclosed explanation does not quantify how much of the increase came from scope change versus operational efficiency.",2026-09-01
O2-007,O2,O2-ESG-2024,"p. 30–32, Carbon Footprint","Historical 2022 and 2023 carbon values were recalculated after methodology improvements; Scope 1 plus 2 rose from 14,550 tCO2e in 2023 to 21,963 in 2024 while Scope 3 declined.","NEG-CHG;NEG-WOR;MET-TS;MET-BND;E2",E2,metric,"Transparent restatement and mixed performance rather than a uniformly positive trend.","Changes in company boundary and methodology limit causal interpretation of the year-on-year movement.",2026-09-01
O2-008,O2,O2-ESG-2024,"p. 23 and p. 25, Energy management","O2 links tracking of energy consumption to scheduled upgrades of servers and data centres and describes efficiency measures in those facilities.","DEC-OPS;MOT-OPS;E3",E3,corporate_claim,"Operational decision link in a sector where digital infrastructure is material.","No project-level energy saving or investment amount is provided in the cited segment.",2026-09-01
O2-009,O2,O2-ESG-2024,"p. 65, Governance Structure","A status report on ESG implementation is presented to the Board at least twice a year; an ESG Committee includes executive, security, audit and ESG functions and is tasked with oversight and due diligence.","GOV-BOARD;GOV-COM;GOV-CAD;GOV-CTL;E2",E2,corporate_claim,"Formal cross-functional governance and reporting cadence.","The report does not disclose examples of decisions changed by the committee.",2026-09-01
O2-010,O2,O2-ESG-2024,"p. 77 and GRI index p. 79, About the Report","The ESG Report explicitly states that it was not externally assured.","ASS-NON;NEG-GAP;E1",E1,limitation,"Clear reporting boundary that prevents readers from assuming assurance.","Non-assurance does not mean the underlying information is false; it lowers independent verification.",2026-09-01
O2-011,O2,O2-ESG-2024,"GRI index p. 81, Governance disclosure 2-18","The index states that there were no ESG KPIs for evaluation of the highest governance body and that detailed ESG governance structure was still being prepared.","NEG-GAP;DEC-REM;GOV-BOARD;E2",E2,limitation,"Direct counterevidence to a fully integrated governance interpretation.","The statement concerns the specified GRI requirement and period; later arrangements may differ.",2026-09-01
SKO-001,SKODA,SKODA-AR-WEB-2024,"Sustainability Strategy, introductory section","Sustainability is defined as one of the priorities of the Next Level Škoda Strategy through 2030.","MAT-BM;E0",E0,corporate_claim,"Establishes strategic language but not implementation by itself.","A priority statement has low evidenční strength without mechanisms.",2026-09-01
SKO-002,SKODA,SKODA-AR-WEB-2024,"Sustainability Strategy, Goals 2025–2030","The company targets at least a 40 percent reduction in product decarbonisation index by 2030 from 2018, provides the target and baseline values and links the measure to its products.","MET-BAS;DEC-PROD;MAT-BM;E2",E2,metric,"Time-bound product-level target in the core business model.","The online summary does not provide the full calculation methodology or current-year progress value.",2026-09-01
SKO-003,SKODA,SKODA-AR-WEB-2024,"Sustainability Strategy, Goals 2025–2030","Targets include up to 40 kg of recycled plastics in new models from 2025 and a 52.5 percent reduction in the production environmental indicator by 2025 from 2010.","MET-BAS;DEC-PROD;DEC-OPS;E2",E2,metric,"Shows product and factory targets beyond general commitments.","The short web summary does not show whether the 2025 production target was on track at year-end 2024.",2026-09-01
SKO-004,SKODA,SKODA-AR-WEB-2024,"Sustainability Strategy, Goals 2025–2030","Škoda targets 25 percent women in management by 2030 and a 90 percent turnover share with suppliers holding the highest sustainability A-rating.","MET-BAS;DEC-SUP;GOV-OWNER;E2",E2,metric,"Connects social governance and supplier criteria to quantified targets.","A-rating methodology and current-year denominator require the full report for detailed comparison.",2026-09-01
SKO-005,SKODA,SKODA-AR-WEB-2024,"Sustainability Strategy, Corporate Governance of Sustainability","The company describes a governance model with defined roles and responsibilities and an external expert council that met the Board of Management in 2024 to discuss transformation, biodiversity and macroeconomic risks.","GOV-BOARD;GOV-SKL;MAT-STK;E2",E2,corporate_claim,"Formal accountability plus external challenge and expertise.","Meeting occurrence does not demonstrate that expert advice changed a decision.",2026-09-01
SKO-006,SKODA,SKODA-AR-WEB-2024,"Sustainability Strategy, EU Taxonomy at Škoda Auto 2024","All economic activities were assessed under the EU Taxonomy for stakeholder information and company decisions; 18 percent of revenue, 71 percent of CapEx and 35 percent of OpEx were reported as taxonomy-aligned.","MOT-REG;DEC-CAPEX;DEC-OPEX;MET-BND;E3",E3,metric,"Strong quantified relationship between classification and capital allocation.","Taxonomy alignment is activity-based and does not constitute a complete sustainability assessment of the company.",2026-09-01
SKO-007,SKODA,SKODA-AR-WEB-2024,"Environment, GreenFuture and GreenFactory","The GreenFuture strategy is described as a management and control system across product, production and retail; factory impacts are monitored through UEP indicators for energy, emissions, waste, water and VOCs.","DEC-OPS;GOV-CTL;MET-BND;E3",E3,corporate_claim,"Links environmental topics to recurring management across operational levels.","The summary does not expose all UEP weights or site-level results.",2026-09-01
SKO-008,SKODA,SKODA-AR-WEB-2024,"Environment, GreenProduct","Low- and zero-emission vehicle development is framed across the entire product life cycle, including own and supplier production, use-phase energy and end-of-life treatment.","DEC-PROD;DEC-SUP;MAT-BM;E3",E3,corporate_claim,"Core-product and value-chain integration.","The statement defines scope but does not itself establish reduced life-cycle impact.",2026-09-01
SKO-009,SKODA,SKODA-AR-WEB-2024,"Environment, Water","The company reports a 39.9 percent reduction in water consumption per manufactured vehicle since 2010 and states that the indicator is monitored regularly.","MET-BAS;MET-RES;DEC-OPS;E2",E2,metric,"Outcome-oriented operational intensity measure with long-term comparator.","Intensity improvement can coexist with a different trend in absolute water use.",2026-09-01
SKO-010,SKODA,SKODA-AR-WEB-2024,"Social, Strategy","The social sustainability strategy is regularly evaluated and discussed with KOVO trade unions; programmes are derived from a creating-shared-value principle.","MAT-STK;GOV-CAD;GOV-CTL;E2",E2,corporate_claim,"Shows recurring worker-representative involvement in strategy review.","The online text does not detail disagreements or decisions resulting from the dialogue.",2026-09-01
SKO-011,SKODA,SKODA-AR-WEB-2024,"Governance, Corporate Culture and Business Conduct","Integrity and compliance are described as integral to both corporate and sustainability strategy, with a Group code adopted by the company and affiliates.","GOV-CTL;MOT-GRP;E1",E1,corporate_claim,"Formal policy alignment across the group.","Policy adoption alone does not demonstrate consistent application or outcomes.",2026-09-01
