claim_id,manuscript_location,claim_text,claim_type,evidence_or_source,locator,evidence_class,status,limitation_or_counterevidence
CLM-011,"4.4.1","CEZ assigns board-level sustainability ownership and connects a common ESG task to annual variable remuneration assessment.",corporate_evidence,"CEZ-002; CEZ-003","CEZ report pp. 414–415",E2-E3,verified,"Exact remuneration weight and realised payout effect are not fully disclosed."
CLM-012,"4.6.1","CEZ discloses continuing lignite exposure, permanent biodiversity impact from mining and social risks of coal phase-out.",corporate_evidence,"CEZ-005; CEZ-006; CEZ-009","CEZ report pp. 434, 453, 478",E2,verified,"Magnitude and adequacy of mitigation are not independently evaluated."
CLM-013,"4.2.2","MONETA uses both mandatory annual-report disclosure and a separate reader-oriented sustainability report.",corporate_evidence,"MON-001","MONETA report p. 1",E1,verified,"The separate report is selective and cannot substitute for the complete mandatory statement."
CLM-014,"4.4.2","MONETA's CEO-chaired Sustainability Committee meets quarterly, monitors targets and may initiate corrective action.",corporate_evidence,"MON-010","MONETA report pp. 52–55",E2,verified,"Minutes and concrete changed decisions are not public."
CLM-015,"4.3.2; 4.4.2","MONETA links ESG-related KPIs to variable remuneration of responsible Board members and material risk takers.",corporate_evidence,"MON-006","MONETA report pp. 18–19",E3,verified,"The exact ESG portion of the qualitative component and actual payout effects are limited."
CLM-016,"4.5.4","MONETA reports reasonable assurance over a delimited financed-emissions calculation methodology.",assurance_evidence,"MON-008","MONETA report p. 21",E4,verified,"Assurance supports the calculation, not portfolio decarbonisation or a causal impact claim."
CLM-017,"4.3.2; 4.6.2","MONETA states that it lacks a measurable outcome target for financed emissions despite their materiality.",corporate_limitation,"MON-007","MONETA report p. 20",E2,verified,"A work-in-progress statement does not show the future target's adequacy."
CLM-018,"4.6.2","MONETA reports a worsening adjusted gender pay gap and cancellation of a volunteering KPI.",corporate_evidence,"MON-011; MON-012","MONETA report pp. 34, 60",E2,verified,"Methodology and reasons for KPI cancellation are only partially visible."
CLM-019,"4.2.3","O2 combines GRI reporting with ESRS-oriented double materiality during a reporting transition.",corporate_evidence,"O2-003","O2 report pp. 17–19",E1,verified,"The disclosed materiality process is less detailed than in CEZ and MONETA."
CLM-020,"4.3.3","O2 connects energy monitoring with server and data-centre upgrade decisions.",corporate_evidence,"O2-008","O2 report pp. 23, 25",E3,verified,"No project-level savings or investment value is disclosed."
CLM-021,"4.5.1","O2's supplier, training, digital-literacy and cyber-security counts are outputs rather than demonstrated behavioural or avoided-harm outcomes.",interpretive,"O2-004; O2-005","O2 report pp. 3, 5",E1,verified,"The programs may have outcomes not measured or disclosed in the selected segments."
CLM-022,"4.5.3; 4.6.3","O2 restated historical carbon data and reported mixed trends, with Scope 1+2 increasing while Scope 3 decreased.",corporate_evidence,"O2-006; O2-007","O2 report pp. 23–32",E2,verified,"Boundary and methodology changes limit causal year-on-year interpretation."
CLM-023,"4.4.3; 4.6.3","O2 reports board oversight and an ESG Committee but also states that ESG KPIs for evaluation of the highest governance body were absent in 2024.",corporate_evidence,"O2-009; O2-011","O2 report pp. 65, 81",E2,verified,"The gap concerns the reporting period; later governance may differ."
CLM-024,"4.5.4","O2 explicitly states that the 2024 ESG report was not externally assured.",corporate_limitation,"O2-010","O2 report pp. 77, 79",E1,verified,"Absence of assurance does not imply false information."
CLM-025,"4.3.4","SKODA reports 18% taxonomy-aligned revenue, 71% aligned CapEx and 35% aligned OpEx and relates the assessment to company decisions.",corporate_evidence,"SKO-006","SKODA online Annual Report 2024, EU Taxonomy section",E3,verified,"Taxonomy alignment is not a complete sustainability assessment."
CLM-026,"4.3.4","SKODA integrates sustainability into product life-cycle management, production controls and supplier targets.",corporate_evidence,"SKO-004; SKO-007; SKO-008","SKODA Annual Report 2024, Strategy and Environment sections",E2-E3,verified,"Detailed supplier-rating method and all site-level results are not visible in the selected online excerpts."
CLM-027,"4.4.4","SKODA discloses defined governance roles, an external expert council and recurring dialogue with KOVO trade unions.",corporate_evidence,"SKO-005; SKO-010","SKODA Annual Report 2024, Strategy and Social sections",E2,verified,"No specific decision change resulting from these inputs is disclosed."
CLM-028,"4.5.2","SKODA reports a 39.9% reduction in water use per manufactured vehicle since 2010.",corporate_evidence,"SKO-009","SKODA Annual Report 2024, Water section",E2,verified,"Intensity improvement does not establish the trend in absolute water use."
CLM-029,"4.6; 5.5","Transparent disclosure of adverse trends, restatements, missing targets and negative impacts increases the report's decision usefulness.",interpretive,"Boiral 2013; Michelon et al. 2015; CEZ-005; MON-007; MON-011; O2-002; O2-007; O2-011; SKO-006",cross-case,E1-E2,verified,"Negative disclosure does not itself prove better management or performance."
CLM-030,"5.9","A common mechanism-based comparison is more defensible than a single cross-sector ESG score.",interpretive,"Berg et al. 2022; Drempetic et al. 2020; cross-case matrix",cross-case,E2-E3,verified,"The proposed mechanism scale is exploratory and not externally validated."
CLM-031,"Závěr","Public ESG reports are valuable but limited evidence sources: they substantiate reported mechanisms more readily than causal real-world impacts.",synthesis,"all case memos; evidence matrix; methodological limitations",cross-case,E1-E4,verified,"No operational, stakeholder or internal-document triangulation was conducted."
